------ITER 1------
EPOCH ::: 1
Training Net (5/17) Data: 0.003s | Batch: 1.374s | Total: 0:00:06 | ETA: 0:00:18 | Loss_pi: 4.2551 | Loss_v: 128.625
Training Net (6/17) Data: 0.003s | Batch: 1.366s | Total: 0:00:08 | ETA: 0:00:17 | Loss_pi: 4.2367 | Loss_v: 128.982
Training Net (7/17) Data: 0.003s | Batch: 1.365s | Total: 0:00:09 | ETA: 0:00:16 | Loss_pi: 4.2370 | Loss_v: 129.030
Training Net (8/17) Data: 0.003s | Batch: 1.375s | Total: 0:00:11 | ETA: 0:00:14 | Loss_pi: 4.2640 | Loss_v: 128.924
Training Net (9/17) Data: 0.003s | Batch: 1.368s | Total: 0:00:12 | ETA: 0:00:13 | Loss_pi: 4.3200 | Loss_v: 128.867
Training Net (10/17) Data: 0.003s | Batch: 1.371s | Total: 0:00:13 | ETA: 0:00:11 | Loss_pi: 4.3565 | Loss_v: 128.793
Training Net (11/17) Data: 0.003s | Batch: 1.373s | Total: 0:00:15 | ETA: 0:00:10 | Loss_pi: 4.3935 | Loss_v: 128.672
Training Net (12/17) Data: 0.003s | Batch: 1.369s | Total: 0:00:16 | ETA: 0:00:09 | Loss_pi: 4.3978 | Loss_v: 128.717
Training Net (13/17) Data: 0.003s | Batch: 1.376s | Total: 0:00:17 | ETA: 0:00:07 | Loss_pi: 4.4127 | Loss_v: 128.646
Training Net (14/17) Data: 0.003s | Batch: 1.374s | Total: 0:00:19 | ETA: 0:00:06 | Loss_pi: 4.4096 | Loss_v: 128.636
Training Net (15/17) Data: 0.003s | Batch: 1.372s | Total: 0:00:20 | ETA: 0:00:05 | Loss_pi: 4.4167 | Loss_v: 128.570
Training Net (16/17) Data: 0.003s | Batch: 1.377s | Total: 0:00:22 | ETA: 0:00:03 | Loss_pi: 4.3996 | Loss_v: 128.592
Training Net (17/17) Data: 0.003s | Batch: 1.373s | Total: 0:00:23 | ETA: 0:00:02 | Loss_pi: 4.3724 | Loss_v: 128.611
EPOCH ::: 9
Training Net (1/17) Data: 0.002s | Batch: 1.406s | Total: 0:00:01 | ETA: 0:00:00 | Loss_pi: 4.0922 | Loss_v: 128.386
